ev_id,damage,cert_max_gr_wt,afm_hrs_last_insp,ev_dow,ev_time,ev_year,ev_month,ev_nr_apt_loc,apt_dist,apt_elev,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,wx_cond_basic,dec_latitude,dec_longitude,crew_no,crew_age,med_certf,med_crtf_vldty,crew_tox_perf,severity_class
20080125X00103,SUBS,155200.0,317.0,We,1249.0,2008,1,OFAP,1.0,645.0,DAYL,,0.0,3800.0,BKN,10.0,39.0,30.0,280.0,15.0,0.0,29.889999389648438,NONE,VMC,42.212501,-83.353332,1,52.0,CL1,WWL,N,SUBS-NONE
20080210X00161,SUBS,2600.0,,Fr,1610.0,2008,1,OFAP,0.0,,DAYL,CLER,0.0,0.0,NONE,10.0,30.0,3.0,100.0,3.0,0.0,30.510000228881836,MINR,VMC,35.031944,-81.252777,1,37.0,CL3,WWL,N,SUBS-MINR
20080214X00188,SUBS,1600.0,28.0,Mo,1615.0,2008,1,ONAP,0.0,333.0,DAYL,CLER,0.0,0.0,NONE,10.0,52.0,36.0,80.0,6.0,0.0,30.280000686645508,NONE,VMC,31.743055,-84.419166,1,57.0,CL3,WWL,N,SUBS-NONE
20080210X00160,DEST,900.0,,Su,2230.0,2008,1,OFAP,0.0,,DAYL,CLER,0.0,0.0,NONE,10.0,55.0,34.0,330.0,5.0,0.0,30.25,FATL,VMC,31.166666,-87.525001,1,21.0,NONE,,N,DEST-FATL
20080205X00136,SUBS,3600.0,,Mo,1315.0,2008,1,OFAP,0.0,,DAYL,CLER,0.0,0.0,UNK,10.0,52.0,0.0,210.0,6.0,0.0,30.170000076293945,NONE,VMC,30.80861,-89.19139,1,52.0,CL3,WWL,N,SUBS-NONE
20080317X00317,SUBS,1760.0,,Su,1800.0,2008,1,OFAP,22.0,2380.0,DAYL,CLER,0.0,0.0,NONE,10.0,72.0,45.0,160.0,10.0,17.0,30.200000762939453,SERS,VMC,30.433332,-101.816665,1,52.0,NONE,NONE,N,SUBS-SERS
20080305X00268,SUBS,18300.0,61.0,We,515.0,2008,1,ONAP,0.0,748.0,NITE,SCAT,3800.0,6000.0,BKN,8.0,52.0,41.0,180.0,10.0,0.0,29.690000534057617,NONE,VMC,35.21389,-80.943054,1,49.0,CL1,WWL,N,SUBS-NONE
20080207X00148,SUBS,9200.0,38.0,Tu,2223.0,2008,1,OFAP,5.0,5.0,DAYL,CLER,0.0,0.0,NONE,10.0,73.0,54.0,140.0,9.0,0.0,30.040000915527344,SERS,VMC,24.874721,-81.230003,1,58.0,CL1,WWL,N,SUBS-SERS
20080212X00178,MINR,250000.0,,Th,122.0,2008,1,OFAP,0.0,,NITE,CLER,0.0,0.0,NONE,10.0,72.0,63.0,150.0,5.0,0.0,30.1200008392334,MINR,VMC,26.683055,-80.095558,1,46.0,CL1,UNK,N,MINR-MINR
20080312X00303,SUBS,,,We,2105.0,2008,1,ONAP,0.0,951.0,DAYL,CLER,0.0,0.0,NONE,10.0,52.0,10.0,310.0,5.0,0.0,30.030000686645508,SERS,VMC,34.171943,-83.560554,1,59.0,CL3,,N,SUBS-SERS
20080318X00326,SUBS,1270.0,410.0,Th,2020.0,2008,1,ONAP,0.0,211.0,DAYL,CLER,0.0,0.0,NONE,10.0,34.0,61.0,30.0,3.0,0.0,30.479999542236328,NONE,VMC,38.398056,-77.455558,1,55.0,NONE,NONE,N,SUBS-NONE
20080211X00169,SUBS,10160.0,,Fr,1628.0,2008,2,OFAP,0.0,1249.0,DAYL,,300.0,300.0,BKN,2.0,34.0,32.0,0.0,,0.0,0.0,FATL,IMC,36.463333,-80.550834,1,50.0,CL2,WWL,Y,SUBS-FATL
20080211X00172,DEST,10700.0,1649.0,Fr,2248.0,2008,2,OFAP,0.0,,NDRK,UNK,0.0,1800.0,OVC,3.0,21.0,21.0,20.0,3.0,0.0,30.309999465942383,FATL,IMC,44.237499,-69.851669,1,45.0,CL2,WOWL,Y,DEST-FATL
20080330X00398,SUBS,23000.0,,Fr,2042.0,2008,2,ONAP,0.0,13.0,DAYL,SCAT,6900.0,0.0,NONE,10.0,81.0,59.0,130.0,10.0,0.0,30.1200008392334,MINR,VMC,26.198333,-80.18,1,34.0,CL1,WOWL,N,SUBS-MINR
20080206X00142,DEST,,42.599998474121094,Sa,2313.0,2008,2,OFAP,0.0,965.0,DAYL,CLER,0.0,0.0,NONE,10.0,57.0,37.0,80.0,5.0,0.0,29.979999542236328,FATL,VMC,34.857223,-97.586387,1,72.0,CL2,,Y,DEST-FATL
20080211X00167,SUBS,3325.0,,Sa,2030.0,2008,2,OFAP,2.0,190.0,DAYL,FEW,4000.0,0.0,NONE,10.0,37.0,30.0,20.0,5.0,0.0,29.549999237060547,SERS,VMC,47.898056,-122.286109,1,51.0,CL2,WWL,N,SUBS-SERS
