ev_id,damage,cert_max_gr_wt,afm_hrs_last_insp,apt_elev,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wind_vel_kts,altimeter,ev_highest_injury,dec_latitude,dec_longitude,crew_age,severity_class,ev_nr_apt_loc_OFAP,ev_nr_apt_loc_ONAP,light_cond_DAWN,light_cond_DAYL,light_cond_DUSK,light_cond_NBRT,light_cond_NDRK,light_cond_NITE,light_cond_NR,sky_cond_nonceil_CLER,sky_cond_nonceil_FEW,sky_cond_nonceil_OVCT,sky_cond_nonceil_SCAT,sky_cond_ceil_BKN,sky_cond_ceil_OVC,sky_cond_ceil_VV,wx_cond_basic_IMC,wx_cond_basic_Unk,wx_cond_basic_VMC,crew_no_1,crew_no_2,crew_no_3,med_certf_BASC,med_certf_CL1,med_certf_CL2,med_certf_CL3,med_certf_SPRT,med_crtf_vldty_WOWL,med_crtf_vldty_WTLS,med_crtf_vldty_WWL,crew_tox_perf_N,crew_tox_perf_Y
20090601X92219,1,0.008043128559627842,0.005339381060111403,0.3474317263137139,0.0,0.0,0.25,0.7837837837837838,0.0967741935483871,0.576530865459004,1,0.7552217338306255,0.30849275027969736,0.32894736842105265,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
20200703X05843,2,0.011081643793265027,0.005339381060111403,0.08695652173913043,0.0,0.0,0.25,0.7837837837837838,0.22580645161290322,0.6734688912568547,1,0.7014798809051506,0.33326296220487384,0.2236842105263158,7,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
20110705X34957,1,0.014951040776004907,0.005339381060111403,0.3559104801340826,0.0,0.0,0.25,0.7837837837837838,0.1935483870967742,0.5663265554371559,0,0.64389578474023,0.30196543194579706,0.4736842105263158,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
20120528X70400,2,0.012294151462013729,0.005339381060111403,0.08695652173913043,0.0,0.0,0.25,0.7837837837837838,0.1935483870967742,0.5408167535191044,1,0.6816022788547957,0.521598252309347,0.5526315789473685,7,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
20090326X63712,1,0.016400253129091002,0.0071251272341507,0.12323770087745242,0.0,0.0,0.25,0.7837837837837838,0.12903225806451613,0.576530865459004,1,0.6374426745854717,0.4833789189652223,0.06578947368421054,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
20151214X32358,1,0.017612760797839706,0.00694655261674677,0.08695652173913043,0.0,0.0,0.25,0.7837837837837838,0.1935483870967742,0.6122449773989018,2,0.6470880509994881,0.5153714253692132,0.368421052631579,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
20080618X00874,1,0.012294151462013729,0.005339381060111403,0.08695652173913043,0.0,0.0,0.25,0.7837837837837838,0.22580645161290322,0.408163642644789,0,0.5874690275118549,0.4061513604368001,0.3026315789473685,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20160623X01153,1,0.011318348477602422,0.005339381060111403,0.1106181603076013,0.5,0.8333333333333334,0.25,0.7837837837837838,0.25806451612903225,0.5102038234535655,1,0.747348031918595,0.4355982134117182,0.7105263157894737,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
20221209106436,1,0.08934394156775792,0.008196574938574279,0.026717933550231686,0.21666666666666667,0.26666666666666666,0.25,0.7837837837837838,0.3225806451612903,0.5816330204699263,1,0.49816643186115805,0.5355088531546726,0.368421052631579,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
20160926X01659,1,0.04683371254389906,0.005339381060111403,0.023464458247066944,0.060000000000000005,0.08666666666666667,0.25,0.7837837837837838,0.16129032258064516,0.5918363573552092,1,0.6663156464507509,0.5293567649128388,0.5789473684210527,4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
